text,line_type
"Wal Fife, the Manager- of Opposition          extend our best wishes to their families.",both
"Business; our Whips, Bob Halverson and",firstColumnOnly
"Noel Hicks; and the Deputy Whips, Neil We hope, of course, that it does not",both
Andrew and Garry Nehl-a tremendous end in war and that they will all return,both
"job. To the Leader of the House, Kim safely. As the Prime Minister said this",both
"Beazley, I cannot speak with the same morning when he addressed the service-",both
"enthusiasm as I speak of Wal Fife and men on the ship, if war is avoided it will",both
"the others, but I wish you the best for the in large part be due to the fact that they",both
"season.- To the Serjeant-at-Arms, those in are there showing a unity of support at",both
"the Bills and Papers Office, the Hansard an international level.",both
"reporters, the parliamentary librarians, the",firstColumnOnly
"security officers, the drivers, the catering    I finish with two other comments. First,",both
"staff, the parliamentary liaison officer,     I have a genuine concern for those in",both
"Clare Nairn, and a whole host of others       Australia who will have a black Christmas",both
"who make this place work, let me on           this year because of the state of our econ-",both
behalf of the Opposition extend our best      omy. It is a situation that could have been,both
