text,first_column,second_column,line_type,ordering
"ings that, in many instances, such pro-        Minister for Justice and Consumer Affairs","ings that, in many instances, such pro-",Minister for Justice and Consumer Affairs,both,1176
grams seem to have developed more from         (Senator Tate). With the attachment of,grams seem to have developed more from,(Senator Tate). With the attachment of,both,1177
"administrative practices rather than from      those privacy principles, plus particular",administrative practices rather than from,"those privacy principles, plus particular",both,1178
specific statutory authorisations. It is also  amendments that we made to the use of,specific statutory authorisations. It is also,amendments that we made to the use of,both,1179
"quite clear that the effectiveness of the      the tax file number itself, we then sup-",quite clear that the effectiveness of the,"the tax file number itself, we then sup-",both,1180
"information privacy principles, which are      ported the matter. It was to be confined","information privacy principles, which are",ported the matter. It was to be confined,both,1181
set out in the Privacy Act-particularly        to the tax file number and it was to be,set out in the Privacy Act-particularly,to the tax file number and it was to be,both,1182
principles 10 and II-are being severely        used for taxation purposes only.,principles 10 and II-are being severely,used for taxation purposes only.,both,1183
agencies upon general information gath-          The present Minister for Social Security,agencies upon general information gath-,The present Minister for Social Security,both,1185
ering and disclosure provisions.               does not seem to worry about that be-,ering and disclosure provisions.,does not seem to worry about that be-,both,1186
cause he said in relation to that undertak-,cause he said in relation to that undertak-,NA,both,1187
"On 7 November, after reading the dis-       ing, 'few things are imrilUtable'. That is","On 7 November, after reading the dis-","ing, 'few things are imrilUtable'. That is",both,1188
"cussion paper and draft guidelines, I for-     the sort of statement that ranks with that","cussion paper and draft guidelines, I for-",the sort of statement that ranks with that,both,1189
warded to the Commissioner some                of the Treasurer. After the Australian,warded to the Commissioner some,of the Treasurer. After the Australian,both,1190
comments. In the light of the findings set     Labor Party was elected to power in 1983,comments. In the light of the findings set,Labor Party was elected to power in 1983,both,1191
"out in the discussion paper, I formed the      and the Treasurer was reminded of var-","out in the discussion paper, I formed the",and the Treasurer was reminded of var-,both,1192
view that both the Commissioner and this       ious statements he had made in opposi-,view that both the Commissioner and this,ious statements he had made in opposi-,both,1193
"Parliament seem to have a very limited         tion, he said, 'Oh well, they were just",Parliament seem to have a very limited,"tion, he said, 'Oh well, they were just",both,1194
made for opposition; they're nothing to            ing to Medicare. That barrier has to re-,made for opposition; they're nothing to,ing to Medicare. That barrier has to re-,both,1197
"do with me in government now'. It has              main. If it is to be broken, then we will",do with me in government now'. It has,"main. If it is to be broken, then we will",both,1198
just been symptomatic of this Govern-              end up having the de facto Australia Card,just been symptomatic of this Govern-,end up having the de facto Australia Card,both,1199
"ment to give undertakings which can be             which the Opposition opposed, which the",ment to give undertakings which can be,"which the Opposition opposed, which the",both,1200
"torn up, broken at its own whim as it              community opposed and which the com-","torn up, broken at its own whim as it",community opposed and which the com-,both,1201
seems to change course.                            munity clearly simply does not want.,seems to change course.,munity clearly simply does not want.,both,1202
"Let me remind you, Mr Deputy Speaker,             In the context of the Bill we have be-","Let me remind you, Mr Deputy Speaker,",In the context of the Bill we have be-,both,1204
"of some of the statements the Treasurer            fore us, I think it can be said that one",of some of the statements the Treasurer,"fore us, I think it can be said that one",both,1205
"made when he gave these assurances to              lesson to be learnt is that this Parliament,",made when he gave these assurances to,"lesson to be learnt is that this Parliament,",both,1206
the people of Australia in regard to the           though treated with contempt by the Gov-,the people of Australia in regard to the,though treated with contempt by the Gov-,both,1207
"tax file number. In a press release issued         ernment, needs-to be ever more vigilant.",tax file number. In a press release issued,"ernment, needs-to be ever more vigilant.",both,1208
"on 25 May 1988, he said, firstly:                  Were it not for our amendments moved","on 25 May 1988, he said, firstly:",Were it not for our amendments moved,both,1209
The Tax Office will be the only government agency  Senator Alston pursued these privacy,The Tax Office will be the only government agency,Senator Alston pursued these privacy,both,1211
"which uses the tax file number for the purposes    matters in the Senate, we would not have",which uses the tax file number for the purposes,"matters in the Senate, we would not have",both,1212
of identifying and registering its client base.    the sort of legislation today which we can,of identifying and registering its client base.,the sort of legislation today which we can,both,1213
"Some undertaking! Secondly:                        concerns for the future, at least gives us",Some undertaking! Secondly:,"concerns for the future, at least gives us",both,1215
The tax file numbering system will be adminis-     before in terms of saving the revenue and,The tax file numbering system will be adminis-,before in terms of saving the revenue and,both,1217
tered exclusively by the Tax Office for tax pur-   guarding privacy concerns.,tered exclusively by the Tax Office for tax pur-,guarding privacy concerns.,both,1218
"Thirdly:                                           ber in 1988 as an identifying system, we",Thirdly:,"ber in 1988 as an identifying system, we",both,1221
